   MONTH           CSR_RL06             GFZ_RL06           GSFC_rl06v2.0          JPL_RL06       
070 Oct2007   2007_274--2007_304   2007_274--2007_304   2007_274--2007_304   2007_274--2007_304
071 Nov2007   2007_305--2007_334   2007_305--2007_334   2007_305--2007_334   2007_305--2007_334
072 Dec2007   2007_335--2007_365   2007_335--2007_365   2007_335--2008_000   2007_335--2007_365
073 Jan2008   2008_001--2008_031   2008_001--2008_031   2008_001--2008_031   2008_001--2008_031
074 Feb2008   2008_032--2008_060   2008_032--2008_060   2008_032--2008_060   2008_032--2008_060
075 Mar2008   2008_061--2008_091   2008_061--2008_091   2008_061--2008_091   2008_061--2008_091
076 Apr2008   2008_092--2008_121   2008_092--2008_121   2008_092--2008_121   2008_092--2008_121
077 May2008   2008_122--2008_152   2008_122--2008_152   2008_122--2008_152   2008_122--2008_152
078 Jun2008   2008_153--2008_182   2008_153--2008_182   2008_153--2008_182   2008_153--2008_182
079 Jul2008   2008_183--2008_213   2008_183--2008_213   2008_183--2008_213   2008_183--2008_213
080 Aug2008   2008_214--2008_244   2008_214--2008_244   2008_214--2008_244   2008_214--2008_244
081 Sep2008   2008_245--2008_274   2008_245--2008_274   2008_245--2008_274   2008_245--2008_274
082 Oct2008   2008_275--2008_305   2008_275--2008_305   2008_275--2008_305   2008_275--2008_305
083 Nov2008   2008_306--2008_335   2008_306--2008_335   2008_306--2008_335   2008_306--2008_335
084 Dec2008   2008_336--2008_366   2008_336--2008_366   2008_336--2009_000   2008_336--2008_366
085 Jan2009   2009_001--2009_031   2009_001--2009_031   2009_001--2009_031   2009_001--2009_031
086 Feb2009   2009_032--2009_059   2009_032--2009_059   2009_032--2009_059   2009_032--2009_059
087 Mar2009   2009_060--2009_090   2009_060--2009_090   2009_060--2009_090   2009_060--2009_090
088 Apr2009   2009_091--2009_120   2009_091--2009_120   2009_091--2009_120   2009_091--2009_120
089 May2009   2009_121--2009_151   2009_121--2009_151   2009_121--2009_151   2009_121--2009_151
090 Jun2009   2009_152--2009_181   2009_152--2009_181   2009_152--2009_181   2009_152--2009_181
091 Jul2009   2009_182--2009_212   2009_182--2009_212   2009_182--2009_212   2009_182--2009_212
092 Aug2009   2009_213--2009_243   2009_213--2009_243   2009_213--2009_243   2009_213--2009_243
093 Sep2009   2009_244--2009_273   2009_244--2009_273   2009_244--2009_273   2009_244--2009_273
094 Oct2009   2009_274--2009_304   2009_274--2009_304   2009_274--2009_304   2009_274--2009_304
095 Nov2009   2009_305--2009_334   2009_305--2009_334   2009_305--2009_334   2009_305--2009_334
096 Dec2009   2009_335--2009_365   2009_335--2009_365   2009_335--2010_000   2009_335--2009_365
097 Jan2010   2010_001--2010_031   2010_001--2010_031   2010_001--2010_031   2010_001--2010_031
098 Feb2010   2010_032--2010_059   2010_032--2010_059   2010_032--2010_059   2010_032--2010_059
099 Mar2010   2010_060--2010_090   2010_060--2010_090   2010_060--2010_090   2010_060--2010_090
100 Apr2010   2010_091--2010_120   2010_091--2010_120   2010_091--2010_120   2010_091--2010_120
101 May2010   2010_121--2010_151   2010_121--2010_151   2010_121--2010_151   2010_121--2010_151
102 Jun2010   2010_152--2010_181   2010_152--2010_181   2010_152--2010_181   2010_152--2010_181
103 Jul2010   2010_182--2010_212   2010_182--2010_212   2010_182--2010_212   2010_182--2010_212
104 Aug2010   2010_213--2010_243   2010_213--2010_243   2010_213--2010_243   2010_213--2010_243
105 Sep2010   2010_244--2010_273   2010_244--2010_273   2010_244--2010_273   2010_244--2010_273
106 Oct2010   2010_274--2010_304   2010_274--2010_304   2010_274--2010_304   2010_274--2010_304
107 Nov2010   2010_305--2010_334   2010_305--2010_334   2010_305--2010_334   2010_305--2010_334
108 Dec2010   2010_335--2010_361   2010_335--2010_361   2010_335--2010_361   2010_335--2010_361
109 Jan2011     ** missing **        ** missing **        ** missing **        ** missing **   
110 Feb2011   2011_039--2011_059   2011_039--2011_059   2011_039--2011_059   2011_039--2011_059
111 Mar2011   2011_060--2011_090   2011_060--2011_090   2011_060--2011_090   2011_060--2011_090
112 Apr2011   2011_091--2011_120   2011_091--2011_120   2011_091--2011_120   2011_091--2011_120
113 May2011   2011_121--2011_151   2011_121--2011_151   2011_121--2011_151   2011_121--2011_151
114 Jun2011     ** missing **        ** missing **        ** missing **        ** missing **   
115 Jul2011   2011_186--2011_212   2011_186--2011_212   2011_186--2011_212   2011_186--2011_212
116 Aug2011   2011_213--2011_243   2011_213--2011_243   2011_213--2011_243   2011_213--2011_243
117 Sep2011   2011_244--2011_273   2011_244--2011_273   2011_244--2011_273   2011_244--2011_273
118 Oct2011   2011_274--2011_304   2011_274--2011_304   2011_274--2011_296   2011_274--2011_304
119 Nov2011   2011_289--2011_319   2011_289--2011_319   2011_297--2011_319   2011_290--2011_320
120 Dec2011   2011_347--2012_011   2011_347--2012_011   2011_347--2012_005   2011_351--2012_015
121 Jan2012   2012_001--2012_031   2012_001--2012_031   2012_006--2012_031   2012_001--2012_031
122 Feb2012   2012_032--2012_060   2012_032--2012_060   2012_032--2012_060   2012_032--2012_060
123 Mar2012   2012_061--2012_091   2012_061--2012_091   2012_061--2012_085   2012_061--2012_091
124 Apr2012   2012_080--2012_109   2012_080--2012_109   2012_086--2012_109   2012_080--2012_110
125 May2012     ** missing **        ** missing **        ** missing **        ** missing **   
126 Jun2012   2012_153--2012_182   2012_153--2012_182   2012_153--2012_182   2012_153--2012_182
127 Jul2012   2012_183--2012_213   2012_183--2012_213   2012_183--2012_213   2012_183--2012_213
128 Aug2012   2012_214--2012_244   2012_214--2012_244   2012_214--2012_244   2012_214--2012_244
129 Sep2012   2012_245--2012_269   2012_245--2012_269   2012_245--2012_269   2012_245--2012_268
130 Oct2012     ** missing **        ** missing **        ** missing **        ** missing **   
131 Nov2012   2012_311--2012_335   2012_311--2012_335   2012_311--2012_335   2012_311--2012_335
132 Dec2012   2012_336--2012_366   2012_336--2012_366   2012_336--2013_000   2012_336--2012_366
133 Jan2013   2013_001--2013_031   2013_001--2013_031   2013_001--2013_031   2013_001--2013_031
134 Feb2013   2013_032--2013_057   2013_032--2013_057   2013_032--2013_057   2013_032--2013_057
135 Mar2013     ** missing **        ** missing **        ** missing **        ** missing **   
136 Apr2013   2013_101--2013_120   2013_101--2013_120   2013_101--2013_120   2013_101--2013_120
137 May2013   2013_121--2013_151   2013_121--2013_151   2013_121--2013_151   2013_121--2013_151
138 Jun2013   2013_152--2013_181   2013_152--2013_181   2013_152--2013_181   2013_152--2013_181
139 Jul2013   2013_182--2013_212   2013_182--2013_212   2013_182--2013_212   2013_182--2013_212
140 Aug2013     ** missing **        ** missing **        ** missing **        ** missing **   
141 Sep2013     ** missing **        ** missing **        ** missing **        ** missing **   
142 Oct2013   2013_274--2013_304   2013_274--2013_304   2013_274--2013_304   2013_274--2013_304
143 Nov2013   2013_305--2013_334   2013_305--2013_334   2013_305--2013_334   2013_305--2013_334
144 Dec2013   2013_335--2013_365   2013_335--2013_365   2013_335--2014_000   2013_335--2013_365
145 Jan2014   2014_001--2014_016   2014_001--2014_017   2014_001--2014_016   2014_001--2014_017
146 Feb2014     ** missing **        ** missing **        ** missing **        ** missing **   
147 Mar2014   2014_062--2014_090   2014_060--2014_090   2014_062--2014_090   2014_060--2014_090
148 Apr2014   2014_091--2014_120   2014_091--2014_120   2014_091--2014_120   2014_091--2014_120
